name,filter_object,graphql_object,llm_result
Instruct multiple filters,"{""sex"": {""selectedValues"": [""Female"", ""Male""]}, ""molecular_analysis.anaplasia"": {""selectedValues"": [""Absent""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},"The cohort consists of individuals who are either female or male, have an absence of anaplasia in their molecular analysis, and have tumors classified as metastatic."
All - wide open,{},{},"The JSON files provided are empty, indicating that there are no selection criteria or filters specified for the cohort."
"ARMS, Alive, FOXO1/PAX7","{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""molecular_analysis.gene1"": {""selectedValues"": [""FOXO1""]}, ""molecular_analysis.gene2"": {""selectedValues"": [""PAX7""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}}",{},"The cohort consists of individuals who are part of the INSTRuCT consortium and have been diagnosed with alveolar rhabdomyosarcoma (ARMS). These individuals have a molecular analysis showing the presence of the FOXO1 and PAX7 genes. Additionally, all individuals in this cohort are currently alive."
Ex01,"{""sex"": {""selectedValues"": [""Female""]}, ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}, ""molecular_analysis.molecular_abnormality"": {""selectedValues"": [""FOXO1-PAX7 fusion""]}}",{},The cohort consists of female individuals diagnosed with Botryoid rhabdomyosarcoma (BRMS) who have a molecular abnormality characterized by the FOXO1-PAX7 fusion.
AA / Asian Males,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Black or African American"", ""Asian""]}}",{},The cohort consists of male individuals who are either Black or African American or Asian.
Alive M1 at Dx with event,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""censor_status"": {""selectedValues"": [""Subject has had one or more events""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}, ""disease_phase:Initial Diagnosis"": {""filter"": {""stagings.tnm_finding"": {""selectedValues"": [""Metastases, M1""]}}}}",{},"The cohort consists of subjects from the INSTRuCT consortium who have experienced one or more events. These subjects are alive and were initially diagnosed with a disease phase characterized by TNM staging of Metastases, M1."
All black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and identify as Black or African American.
Age less than on eyear,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{},The cohort consists of individuals who are in the initial diagnosis phase of their disease. The selection criteria include those who had a tumor assessment conducted when they were between 0 and 364 days old.
Age less than one year,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{},The cohort consists of individuals who are at the initial diagnosis phase of their disease. The selection criteria include those who have had a tumor assessment conducted when they were between 0 and 364 days old.
Less than one year ,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{},The cohort consists of individuals who are at the initial diagnosis phase of their disease. The selection criteria include those who have had a tumor assessment conducted when they were between 0 and 364 days old.
Test 1,"{""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},The cohort consists of individuals diagnosed with alveolar rhabdomyosarcoma (ARMS) whose tumors are classified as metastatic.
Female99,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{},The cohort consists of female participants who are part of the INSTRuCT consortium.
Female,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{},The cohort consists of female participants who are part of the INSTRuCT consortium.
"Instruct M, F all","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female"", ""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Female"", ""Male""]}}, {""IN"": {""consortium"": [""INSTRuCT""]}}]}",The cohort consists of individuals who are either female or male and are part of the INSTRuCT consortium.
"Female,Asian","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}, ""race"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Asian""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""race"": [""Asian""]}}, {""IN"": {""sex"": [""Female""]}}]}",The cohort consists of individuals who are both female and Asian.
male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria use an ""AND"" combination mode, but no additional criteria are specified."
male asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, although no additional criteria are specified."
male asian and black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
ARMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}",{},The cohort consists of individuals diagnosed with Alveolar rhabdomyosarcoma (ARMS).
FemaleAsian,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and Asian.
MaleAsian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both male and Asian.
male asian 2,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both male and Asian.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria use an ""AND"" combination mode, but no additional filters are specified."
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
male and asian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and identify as Asian.
AgeAtCStatusMaleOnly,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{},The cohort consists of male participants whose age at the time of censoring is between 17.75 and 28.14 years.
male and (asian or black),"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both male and Asian.
male,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both male and Asian.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, although no additional criteria are specified."
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
All female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are female. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
All Asian female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are female. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male.
All Asian female 2,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and Asian.
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
All black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and identify as Black or African American.
All asian female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and Black or African American.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
INTERACT - Male,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INTERACT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""IN"": {""consortium"": [""INTERACT""]}}]}",The cohort consists of male participants who are part of the INTERACT consortium.
M All with Save As,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",,The cohort consists of individuals who are male.
"All asian, black, native female","{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and identify as Black or African American.
BRMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}",{},The cohort includes individuals diagnosed with Botryoid rhabdomyosarcoma (BRMS).
Female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are female.
Male Asian Not Reported,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and are either Asian or have not reported their race.
Male Asian Not Reported Black,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and are either Asian or have not reported their race.
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{},The cohort consists of individuals diagnosed with embryonal rhabdomyosarcoma (ERMS).
asian,"{""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are identified as Asian. The selection criteria are combined using an ""AND"" logic, although no additional criteria are specified."
asian not hispanic,"{""race"": {""selectedValues"": [""Asian""]}, ""ethnicity"": {""selectedValues"": [""Not Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are Asian and are not Hispanic or Latino.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
AgeAtCStatusMaleOnlyNHISP,"{""sex"": {""selectedValues"": [""Male""]}, ""ethnicity"": {""selectedValues"": [""Not Hispanic or Latino""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{},"The cohort consists of male participants who are not Hispanic or Latino. Additionally, their age at the time of censoring is between 17.75 and 28.14 years. All these criteria must be met for inclusion in the study."
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and identify as Asian.
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and belong to either the Asian or Black or African American racial groups.
AgeAtCStatusMaleOnlyAEDIT1,"{""sex"": {""selectedValues"": [""Male"", ""Female""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""censor_status"": {""selectedValues"": [""Subject is censored (i.e. has had no event(s))""]}, ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{},"The cohort consists of individuals who are either male or female and identify as either Asian or Black or African American. All participants are part of the INSTRuCT consortium. The individuals included in the study have been censored, meaning they have not experienced any events of interest. Additionally, their age at the time of censoring falls between 17.75 and 28.14 years."
Male Asian Black Not Reported,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of male participants who are either Asian, Black or African American, or have not reported their race. All specified criteria must be met for inclusion in the cohort."
Alveolar rhabdo,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}",{},The cohort consists of participants from the INSTRuCT consortium who have been diagnosed with alveolar rhabdomyosarcoma (ARMS).
Embryonal rhabdo,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{},The cohort consists of participants who are part of the INSTRuCT consortium and have been diagnosed with embryonal rhabdomyosarcoma (ERMS).
hispanic female,"{""sex"": {""selectedValues"": [""Female""]}, ""ethnicity"": {""selectedValues"": [""Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and Hispanic or Latino.
hispanic male,"{""sex"": {""selectedValues"": [""Male""]}, ""ethnicity"": {""selectedValues"": [""Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are male and identify as Hispanic or Latino. Both criteria must be met for inclusion in the cohort.
eyelid,"{""__combineMode"": ""AND"", ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid""]}}",{},The cohort consists of individuals who have tumor assessments indicating the tumor site is specifically located on the eyelid.
ARMS ORBIT,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{},The cohort consists of individuals diagnosed with alveolar rhabdomyosarcoma (ARMS) who have tumors located in either the eyelid or the orbit.
MF All with Save As,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both male and Asian.
AgeAtCStatusFemaleOnly,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{},The cohort consists of female participants whose age at the time of censoring is between 17.75 and 28.14 years.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{},"The cohort consists of individuals who are male. The selection criteria are combined using an ""AND"" logic, but no additional criteria are specified."
All asian and black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{},The cohort consists of individuals who are both female and identify as Black or African American.
NODAL HL,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Hodgkin Lymphoma, NOS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Hodgkin Lymphoma, NOS""]}}], ""path"": ""histologies""}}]}","The cohort consists of individuals who are part of the NODAL consortium and have a histology diagnosis of Hodgkin Lymphoma, not otherwise specified (NOS). Both criteria must be met for inclusion in the cohort."
"ARMS - Male, Fem, white","{""value"": {""sex"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Male"", ""Female""]}, ""race"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""White""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male"", ""Female""]}}, {""IN"": {""race"": [""White""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}], ""path"": ""histologies""}}]}","The cohort consists of individuals who are either male or female, identify as White, and have been diagnosed with alveolar rhabdomyosarcoma (ARMS). All these criteria must be met for inclusion in the study."
DaSH - INRG MYCN Not Amplified,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of participants from the INRG consortium who have undergone molecular analysis. Specifically, these participants exhibit an absence of MYCN Amplification as a molecular abnormality."
ERMS ORBIT,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)"", ""Embryonal rhabdomyosarcoma (ERMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{},"The cohort consists of individuals diagnosed with either Botryoid rhabdomyosarcoma (BRMS) or Embryonal rhabdomyosarcoma (ERMS), with tumors located in the eyelid or orbit."
orbit anaplasia,"{""__combineMode"": ""AND"", ""molecular_analysis.anaplasia"": {""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{},The cohort consists of individuals who have anaplasia present in their molecular analysis and have tumors located in either the eyelid or the orbit.
INstructMale,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{},The cohort consists of male participants who are part of the INSTRuCT consortium. Both criteria must be met for inclusion in the cohort.
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{},The cohort consists of individuals diagnosed with embryonal rhabdomyosarcoma (ERMS).
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{},The cohort consists of individuals diagnosed with embryonal rhabdomyosarcoma (ERMS).
pleo,"{""__combineMode"": ""AND"", ""disease_phase:Initial Diagnosis"": {""filter"": {""histologies.histology"": {""selectedValues"": [""Pleomorphic rhabdomyosarcoma (PRMS)""]}}}}",{},The cohort consists of individuals who were initially diagnosed with pleomorphic rhabdomyosarcoma (PRMS).
test2,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Rhabdomyosarcoma (RMS), not classifiable"", ""Pleomorphic rhabdomyosarcoma (PRMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},"The cohort consists of individuals diagnosed with specific types of rhabdomyosarcoma, including ""Rhabdomyosarcoma (RMS), not classifiable,"" ""Pleomorphic rhabdomyosarcoma (PRMS),"" and ""Botryoid rhabdomyosarcoma (BRMS)."" Additionally, these individuals have tumors classified as ""Metastatic."""
Instruct Male,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{},The cohort consists of male participants who are part of the INSTRuCT consortium. Both criteria must be met for inclusion in the cohort.
InstructFemale,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{},The cohort consists of female participants who are part of the INSTRuCT consortium. Both criteria must be met for inclusion in the cohort.
InstructFemaleYear,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""year_at_disease_phase"": {""lowerBound"": 2010, ""upperBound"": 2016}}",{},The cohort consists of female participants who are part of the INSTRuCT consortium. These participants were in a specific disease phase between the years 2010 and 2016.
test,"{""race"": {""selectedValues"": [""Black or African American""]}, ""data_contributor_id"": {""selectedValues"": [""COG""]}}",{},The cohort consists of individuals who are identified as Black or African American and whose data was contributed by the Children's Oncology Group (COG).
ljkl,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""OR""}",{},"The cohort includes individuals who are female. The selection criteria use an ""OR"" combination mode, but no additional criteria are specified."
lj,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""OR""}",{},"The cohort includes individuals who are male. The selection criteria use an ""OR"" combination mode, but no additional criteria are specified."
both,"{""sex"": {""selectedValues"": [""Male"", ""Female""]}, ""__combineMode"": ""OR""}",{},"The cohort includes individuals who are either male or female. The selection criteria use an ""OR"" logic, meaning that individuals of either sex are included."
positive,"{""__combineMode"": ""AND"", ""molecular_analysis.molecular_abnormality"": {""selectedValues"": [""FOXO1-PAX3 fusion"", ""FOXO1-PAX7 fusion"", ""FOXO1-Other fusion""]}, ""molecular_analysis.molecular_abnormality_result"": {""selectedValues"": [""Present""]}}",{},"The cohort consists of individuals who have a molecular abnormality characterized by the presence of a FOXO1 fusion. Specifically, the fusion must be one of the following types: FOXO1-PAX3 fusion, FOXO1-PAX7 fusion, or FOXO1-Other fusion. Additionally, the result of the molecular abnormality analysis must indicate that the fusion is present."
1990-2002,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 1991, ""upperBound"": 2002}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 1991}}, {""LTE"": {""year_at_disease_phase"": 2002}}]}]}","The cohort consists of participants who are part of the INRG consortium. Additionally, these participants were involved in a disease phase that occurred between the years 1991 and 2002, inclusive."
ARMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{},The cohort consists of individuals diagnosed with alveolar rhabdomyosarcoma (ARMS) who have tumors located in either the eyelid or the orbit.
orbital,"{""__combineMode"": ""AND"", ""tumor_assessments.tumor_site"": {""selectedValues"": [""Orbit""]}}",{},The cohort consists of individuals who have tumor assessments specifically indicating the tumor site as the orbit.
