name,filter_object,graphql_object
All black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{}
All asian female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
INTERACT - Male,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INTERACT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""IN"": {""consortium"": [""INTERACT""]}}]}"
M All with Save As,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",null
"All asian, black, native female","{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{}
BRMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}",{}
Female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{}
Male Asian Not Reported,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{}
Male Asian Not Reported Black,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{}
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{}
asian,"{""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
asian not hispanic,"{""race"": {""selectedValues"": [""Asian""]}, ""ethnicity"": {""selectedValues"": [""Not Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
AgeAtCStatusMaleOnlyNHISP,"{""sex"": {""selectedValues"": [""Male""]}, ""ethnicity"": {""selectedValues"": [""Not Hispanic or Latino""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{}
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American""]}, ""__combineMode"": ""AND""}",{}
AgeAtCStatusMaleOnlyAEDIT1,"{""sex"": {""selectedValues"": [""Male"", ""Female""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""censor_status"": {""selectedValues"": [""Subject is censored (i.e. has had no event(s))""]}, ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{}
Male Asian Black Not Reported,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian"", ""Black or African American"", ""Not Reported""]}, ""__combineMode"": ""AND""}",{}
Alveolar rhabdo,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}",{}
Embryonal rhabdo,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{}
hispanic female,"{""sex"": {""selectedValues"": [""Female""]}, ""ethnicity"": {""selectedValues"": [""Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{}
hispanic male,"{""sex"": {""selectedValues"": [""Male""]}, ""ethnicity"": {""selectedValues"": [""Hispanic or Latino""]}, ""__combineMode"": ""AND""}",{}
eyelid,"{""__combineMode"": ""AND"", ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid""]}}",{}
ARMS ORBIT,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{}
MF All with Save As,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
AgeAtCStatusFemaleOnly,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
All asian and black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{}
NODAL HL,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Hodgkin Lymphoma, NOS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Hodgkin Lymphoma, NOS""]}}], ""path"": ""histologies""}}]}"
"ARMS - Male, Fem, white","{""value"": {""sex"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Male"", ""Female""]}, ""race"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""White""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male"", ""Female""]}}, {""IN"": {""race"": [""White""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}], ""path"": ""histologies""}}]}"
DaSH - INRG MYCN Not Amplified,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}"
ERMS ORBIT,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)"", ""Embryonal rhabdomyosarcoma (ERMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{}
orbit anaplasia,"{""__combineMode"": ""AND"", ""molecular_analysis.anaplasia"": {""selectedValues"": [""Present""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{}
INstructMale,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{}
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{}
ERMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{}
pleo,"{""__combineMode"": ""AND"", ""disease_phase:Initial Diagnosis"": {""filter"": {""histologies.histology"": {""selectedValues"": [""Pleomorphic rhabdomyosarcoma (PRMS)""]}}}}",{}
test2,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Rhabdomyosarcoma (RMS), not classifiable"", ""Pleomorphic rhabdomyosarcoma (PRMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
Instruct Male,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{}
InstructFemale,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND""}",{}
InstructFemaleYear,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""year_at_disease_phase"": {""lowerBound"": 2010, ""upperBound"": 2016}}",{}
test,"{""race"": {""selectedValues"": [""Black or African American""]}, ""data_contributor_id"": {""selectedValues"": [""COG""]}}",{}
ljkl,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""OR""}",{}
lj,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""OR""}",{}
both,"{""sex"": {""selectedValues"": [""Male"", ""Female""]}, ""__combineMode"": ""OR""}",{}
positive,"{""__combineMode"": ""AND"", ""molecular_analysis.molecular_abnormality"": {""selectedValues"": [""FOXO1-PAX3 fusion"", ""FOXO1-PAX7 fusion"", ""FOXO1-Other fusion""]}, ""molecular_analysis.molecular_abnormality_result"": {""selectedValues"": [""Present""]}}",{}
1990-2002,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 1991, ""upperBound"": 2002}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 1991}}, {""LTE"": {""year_at_disease_phase"": 2002}}]}]}"
ARMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_site"": {""selectedValues"": [""Eyelid"", ""Orbit""]}}",{}
orbital,"{""__combineMode"": ""AND"", ""tumor_assessments.tumor_site"": {""selectedValues"": [""Orbit""]}}",{}
INSTRuCT Addendum 3,null,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tnm_finding"": [""Metastases, M1""]}}]}]}], ""path"": ""stagings""}}]}"
INSTRuCT Addendum 2,null,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tnm_finding"": [""Metastases, M1""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 5}}, {""LTE"": {""age_at_tumor_assessment"": 9131}}]}]}]}], ""path"": ""tumor_assessments""}}]}"
INSTRuCT Addendum 1,null,"{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}]}"
test,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""American Indian or Alaska Native""]}, ""__combineMode"": ""AND""}",{}
InstructMaleAlive,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""survival_characteristics.lkss"": {""__type"": ""OPTION"", ""selectedValues"": [""Alive""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""IN"": {""consortium"": [""INSTRuCT""]}}, {""nested"": {""AND"": [{""IN"": {""lkss"": [""Alive""]}}], ""path"": ""survival_characteristics""}}]}"
InstructSensorEvent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}, ""censor_status"": {""__type"": ""OPTION"", ""selectedValues"": [""Subject has had one or more events""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""IN"": {""censor_status"": [""Subject has had one or more events""]}}]}"
BRMS,"{""value"": {""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""histology"": [""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}"
INSS Stage 4,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INSS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}, {""IN"": {""stage_system"": [""INSS""]}}], ""path"": ""stagings""}}]}"
INSS Stage 1-3,"{""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 1"", ""Stage 2a"", ""Stage 2b"", ""Stage 3""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 1"", ""Stage 2a"", ""Stage 2b"", ""Stage 3""]}}], ""path"": ""stagings""}}]}"
No 17q gain,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""17q gain""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}]}"
Yes - 17q gain,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""17q gain""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}"
Stage IV INSS,"{""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""selectedValues"": [""Stage 4""]}, ""stagings.stage_system"": {""__type"": ""OPTION"", ""selectedValues"": [""INSS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}, {""IN"": {""stage_system"": [""INSS""]}}], ""path"": ""stagings""}}]}"
test,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
INRG High MKI,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""disease_characteristics.mki"": {""__type"": ""OPTION"", ""selectedValues"": [""High (>4% or >200/5,000 cells)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""mki"": [""High (>4% or >200/5,000 cells)""]}}], ""path"": ""disease_characteristics""}}]}"
arms,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Male""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Alveolar rhabdomyosarcoma (ARMS)"", ""Botryoid rhabdomyosarcoma (BRMS)""]}}], ""path"": ""histologies""}}]}"
INRG and INSTRUCT,"{""value"": [{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}, {""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}], ""__type"": ""COMPOSED"", ""__combineMode"": ""OR""}","{""OR"": [{""AND"": [{""IN"": {""consortium"": [""INRG""]}}]}, {""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}]}]}"
INRG MALE,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""IN"": {""sex"": [""Male""]}}]}"
NODAL clHL,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""histologies.histology"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Hodgkin Lymphoma, Classical, NOS""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""histology"": [""Hodgkin Lymphoma, Classical, NOS""]}}], ""path"": ""histologies""}}]}"
test4,"{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Male""]}, ""ethnicity"": {""__type"": ""OPTION"", ""selectedValues"": [""Not Hispanic or Latino""]}, ""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INSTRuCT""]}}, {""IN"": {""ethnicity"": [""Not Hispanic or Latino""]}}, {""IN"": {""sex"": [""Male""]}}]}"
